Requirement,Stakeholder Source,Success Criterion,Design Section,Algorithm,Class,Iteration,Development Test,Final Test,Evidence,Evaluation
FR01,User brief; genuine stakeholder response pending,SC01,docs/design/architecture.md,A14,RaceConfig,1,tests/test_models.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR02,User brief; genuine stakeholder response pending,SC02,docs/design/I02-tyres.md,A02,TyreCompound,1/2,tests/test_physics.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR03,User brief; genuine stakeholder response pending,SC03,docs/design/I04-I05-engine.md,A04 A05,Strategy PitStopPlan,4/5,tests/test_engine.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR04,User brief; genuine stakeholder response pending,SC04,docs/design/architecture.md,A04 A14,Validated models,1/17,tests/test_models.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR05,User brief; genuine stakeholder response pending,SC05,docs/design/I03-lap.md,A01 A03 A05,RaceState,3/5,tests/test_engine.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR06,User brief; genuine stakeholder response pending,SC06,docs/design/I04-I05-engine.md,A05,LapResult StrategyResult,5/7,tests/test_engine.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR07,User brief; genuine stakeholder response pending,SC07,docs/design/I06-comparison.md,A09,StrategyResult,6,tests/test_comparison.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR08,User brief; genuine stakeholder response pending,SC08,docs/design/I07-gui.md,A09,MainWindow,7,tests/test_gui.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR09,User brief; genuine stakeholder response pending,SC09,docs/design/I15-persistence.md,A14,Scenario,15/17,tests/test_persistence.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR10,User brief; genuine stakeholder response pending,SC10,docs/design/I08-events.md; I09-weather.md; I10-safety-car.md,A06 A07 A08,EventQueue Conditions,8/9/10,tests/test_conditions.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR11,User brief; genuine stakeholder response pending,SC11 SC13 SC14,docs/design/I12-monte-carlo.md,A12 A13,Trial MonteCarloResult,11/12/16,tests/test_monte_carlo.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
FR12,User brief; genuine stakeholder response pending,SC12 SC13 SC14,docs/design/I13-optimiser.md,A10 A11,SearchSettings CandidateScore,13/16,tests/test_optimiser.py,Latest full regression plus tests/test_final_robustness.py where applicable,evidence/test-runs/TEST-FINAL-20260908T213416753101Z/results.xml,docs/evaluation/review.md
